Serial_No,cnt
683,2
2405,2
3335,2
3351,2
5056,2
5057,2
6427,2
8247,2
8440,2
8441,2
8442,2
8443,2
8670,2
8671,2
9113,2
91136,2
91224,2
91351,2
91384,2
91423,2
91570,2
91576,2
91597,2
9203,2
9341,2
9632,2
9873,2
100110,2
100348,2
100994,2
101356,2
101581,2
110291,2
110318,2
110327,2
110484,2
111069,2
111389,2
120002,2
120062,2
120907,2
130247,2
130688,2
140176,2
140304,2
140572,2
140658,2
150171,2
150239,2
150241,2
150259,2
160182,2
160251,2
160575,2
160780,2
160873,2
77125,2
78033,2
78095,2
78119,2
78193,2
78232,2
78246,2
79041,2
79074,2
79102,2
81115,2
82004,2
82009,2
82070,2
83115,2
83119,2
83152,2
84026,2
84047,2
84069,2
84082,2
85053,2
86008,2
87068,2
87087,2
88091,2
88160,2
88161,2
88168,2
89079,2
89202,2
90102,2
91056,2
91116,2
91243,2
91352,2
91362,2
92104,2
92243,2
92260,2
93002,2
93298,2
93309,2
94146,2
94227,2
94228,2
94233,2
95353,2
97329,2
97330,2
97331,2
97332,2
97333,2
97334,2
98039,2
98067,2
99151,2
99165,2
99409,2
